Code;Text
550;De batterij is zesenzeventig procent.
551;De batterij is vijfenzeventig procent.
552;De batterij is vierenzeventig procent.
553;De batterij is drieënzeventig procent.
554;De batterij is tweeënzeventig procent.
555;De batterij is eenenzeventig procent.
556;De batterij is zeventig procent.
557;De batterij is negenenzestig procent.
558;De batterij is achtzestig procent.
559;De batterij is zevenenzestig procent.
560;De batterij is zesenzestig procent.
561;De batterij is vijfenzestig procent.
562;De batterij is vierenzestig procent.
563;De batterij is drieënzestig procent.
564;De batterij is tweeënzestig procent.
565;De batterij is eenenzestig procent.
566;De batterij is zestig procent.
567;De batterij is negenenvijftig procent.
568;De batterij is achtenvijftig procent.
569;De batterij is zevenenvijftig procent.
570;De batterij is zesenvijftig procent.
571;De batterij is vijfenvijftig procent.
572;De batterij is vierenvijftig procent.
573;De batterij is drieënvijftig procent.
574;De batterij is tweeënvijftig procent.
575;De batterij is eenënvijftig procent.
576;De batterij is vijftig procent.
577;De batterij is negenenveertig procent.
578;De batterij is achtenveertig procent.
579;De batterij is zevenenveertig procent.
580;De batterij is zesenveertig procent.
581;De batterij is vijfenveertig procent.
582;De batterij is vierenveertig procent.
583;De batterij is drieënveertig procent.
584;De batterij is tweeënveertig procent.
585;De batterij is eenenveertig procent.
586;De batterij is veertig procent.
587;De batterij is negenendertig procent.
588;De batterij is achtendertig procent.
589;De batterij is zevenendertig procent.
590;De batterij is zesendertig procent.
591;De batterij is vijfendertig procent.
592;De batterij is vierendertig procent.
593;De batterij is drieëndertig procent.
594;De batterij is tweeëndertig procent.
595;De batterij is eenendertig procent.
596;De batterij is dertig procent.
597;De batterij is negenentwintig procent.
598;De batterij is achtentwintig procent.
599;De batterij is zevenentwintig procent.
600;De batterij is zesentwintig procent.
601;De batterij is vijfentwintig procent.
602;De batterij is vierentwintig procent.
603;De batterij is drieëntwintig procent.
604;De batterij is tweeëntwintig procent.
605;De batterij is eenentwintig procent.
606;De batterij is twintig procent.
607;De batterij is negentien procent.
608;De batterij is achttien procent.
609;De batterij is zeventien procent.
610;De batterij is zestien procent.
611;De batterij is vijftien procent.
612;De batterij is veertien procent.
613;De batterij is dertien procent.
614;De batterij is twaalf procent.
615;De batterij is elf procent.
616;De batterij is tien procent.
617;De batterij is negen procent.
618;De batterij is acht procent.
619;De batterij is zeven procent.
620;De batterij is zes procent.
621;De batterij is vijf procent.
622;De batterij is vier procent.
623;De batterij is drie procent.
624;De batterij is twee procent.
625;De batterij is één procent.
626;De batterij is nul procent.
629;Sorry ik kan u niet zien. Zeg 'Hier ben ik' alstublieft dan zoek ik verder.
630;Welkom bij de Mova robotstofzuiger! Open de klep scan de QR-code en download de app voor verdere stappen.
631;Welkom bij de Trover robotstofzuiger! Open de klep scan de QR-code en download de app voor verdere stappen.
632;De taal van de spraakassistent wordt nu gewijzigd. Dit duurt ongeveer dertig seconden.
633;Het wijzigen van de taal is mislukt. Ga naar de instellingen en probeer het opnieuw.
634;Comprimeren van het haar in de stofbak gestart.
636;De dweilpad is een beetje vuil geworden. Breng de robot terug naar het basisstation om deze automatisch te reinigen.
638;Extra lediging gestart.
639;Installeer het filter van de wastrap alstublieft.
641;Ik ben er klaar voor. Probeer eens tegen de robot te zeggen: 'Oké Mova start met schoonmaken'.
642;Probeer eens tegen de robot te zeggen: 'Oké Mova verhoog de zuigkracht'.
643;Probeer eens tegen de robot te zeggen: 'Oké Mova verhoog de vochtigheid van de dweil'.
644;Probeer eens tegen de robot te zeggen: 'Oké Mova pofzuigen en dweilen' om van modus te veranderen.
645;Probeer eens tegen de robot te zeggen: 'Oké Mova start met dweilen' om van modus te veranderen.
646;Probeer eens tegen de robot te zeggen: 'Oké Mova kom hier schoonmaken' om een lokale reiniging te starten.
647;Probeer eens tegen de robot te zeggen: 'Oké Mova eerst stofzuigen dan dweilen' om van modus te veranderen.
648;Probeer eens tegen de robot te zeggen: 'Oké Mova start met schoonmaken' om een volledige reiniging te starten.
658;De antikalkmodule is verlopen. Vervang deze op tijd alstublieft.
659;Sorry ik begreep het niet. U kunt 'Oké Mova wat kun jij?' tegen mij zeggen om al mijn functies te ontdekken.
660;Sorry ik begreep het niet. U kunt 'Oké Truver wat kun jij?' tegen mij zeggen om al mijn functies te ontdekken.
661;Reiniging van de onderkant van het basisstation. Dit proces duurt ongeveer 45 tot 60 seconden.
662;Elektrolytwater maken and starten met het reinigen van de dweilpad.
663;Ik heb herhaaldelijk gemerkt dat het waterniveau in de wastrap afwijkend is. Reinig het filter en de onderste opvangbak en start die taak opnieuw.
664;Probeer eens tegen de robot te zeggen: 'Oké Truver start met schoonmaken'.
665;Ik ben er klaar voor. Probeer eens tegen de robot te zeggen: 'Oké Truver start met schoonmaken'.
666;Probeer eens tegen de robot te zeggen: 'Oké Truver verhoog de zuigkracht'.
667;Probeer eens tegen de robot te zeggen: 'Oké Truver verhoog de vochtigheid van de dweil'.
668;Probeer eens tegen de robot te zeggen: 'Oké Truver eerst stofzuigen dan dweilen' om van modus te veranderen.
669;Probeer eens tegen de robot te zeggen: 'Oké Truver pofzuigen en dweilen' om van modus te veranderen.
670;Probeer eens tegen de robot te zeggen: 'Oké Truver kom hier schoonmaken' om een lokale reiniging te starten.
671;Probeer eens tegen de robot te zeggen: 'Oké Truver eerst stofzuigen dan dweilen' om van modus te veranderen.
672;Probeer eens tegen de robot te zeggen: 'Oké Truver start met schoonmaken' om een volledige reiniging te starten.
673;De mechanische arm zit waarschijnlijk vast of er zit iets in verstrikt. Maak deze schoon en start het apparaat opnieuw op.
677;Kan het opgegeven gebied niet bereiken. Probeer verboden zones of onbegaanbare drempels op de route te verwijderen.
678;De route is geblokkeerd. Probeer verboden zones of onbegaanbare drempels te verwijderen of verplaats de robot uit dit gebied.
679;De robot bevindt zich in een verboden zone of op een onbegaanbare drempel. Verplaats de robot uit dit gebied.
681;Oké baas ik ga verder met schoonmaken.
682;De houder van de dweilpad is gestopt.
683;De houder van de dweilpad is niet geïnstalleerd. Monteer de dweil en probeer het opnieuw.
s684;Kattenmiauw.
s685;Hondengeblaf.
s686;Voetstappen.
s687;Kattenspinnen.
s688;Camerageluid.
689;Ik begin met het drogen van de stofbak en de stofzak.
690;Het drogen van de stofbak en de stofzak is gepauzeerd.
694;Probeer eens tegen de robot te zeggen: 'Oké Mova start met schoonmaken'.
